"","x"
"164",2.053366385
"165",1.397488837
"166",1.497398636
"167",2.402933662
"168",2.3469951
"169",2.895114242
"170",3.004517991
"171",1.440219236
"172",1.985721433
"173",2.958718458
"174",3.24123082
"175",3.082871031
"176",3.307337608
"177",2.819953128
"178",3.20067829
"179",2.27198434466893
"180",1.80763737200339
"181",3.474070869
"182",3.318317304
"183",2.736167218
"184",2.719265305
"185",2.366752257
"186",1.500133441
"187",2.113611383
"188",1.909749075
"189",1.763488949
"190",2.582041452
"191",2.914254939
"192",2.271032076
"193",3.095071557
"194",3.016448253
"195",3.576404675
"196",2.106449349
"197",3.161212212
"198",2.872769986
"199",3.428656169
"200",2.246481503
"201",2.400841203
"202",3.172067064
"203",3.527765469
"204",3.456297339
"205",2.39979386916893
"206",3.576484311
"207",2.45988735516893
"208",2.730770767
"209",2.446059134
"210",3.203886696
"211",1.977986937
"212",2.611438053
"213",2.480611008
"214",2.107815989
"215",2.382688285
"216",1.86298934216893
"217",NA
"218",2.384254031
"219",1.183184644
"220",1.001564297
"221",1.729331332
"222",1.985271774
"223",3.052344518
"224",2.650537666
"225",2.49040672
"226",2.27084824
"227",2.871636872
"228",2.912719753
"229",1.393673779
"230",1.36848208916893
"231",2.711633339
"232",2.141685758
"233",2.552148868
"234",1.785949885
"235",2.144291457
"236",1.954064467
"237",2.086719507
"238",2.325042922
"239",2.032708498
"240",1.842417821
"241",1.632564341
"242",2.321171811
"243",1.756550781
"244",2.264010035
"245",2.038294621
"246",1.804291778
"247",1.551330713
"248",1.819799943
"249",1.414776121
"250",0.796614476
"251",2.543870966
"252",3.267710199
"253",2.362372302
"254",2.086021409
"255",2.540296319
"256",2.271270049
"257",1.818487919
"258",1.568360024
"259",2.115520124
"260",2.84138031
"261",1.745513518
"262",1.773904698
"263",1.734698421
"264",2.654169908
"265",2.666344202
"266",1.591065996
"267",1.241891484
"268",1.178389121
"269",1.020271213
"270",NA
"271",0.969680737
"272",1.674415964
"273",2.058037303
"274",1.993230462
"275",1.836922219
"276",0.905412572
"277",1.017072357
"278",1.372686091
"279",1.799624183
"280",2.019568427
"281",1.507688414
"282",0.742289343
"283",1.212817683
"284",0.820018509
"285",0.700760284
"286",0.625240318
"287",0.840926709
"288",1.04723209
"289",0.818086493
"290",1.013538697
"291",0.490553262
"292",0.872423115
"293",0.802256802
"294",NA
"295",1.495661679
"296",1.966494291
"297",1.419382812
"298",0.628097155
"299",1.020082192
"300",1.584025354
"301",1.902789783
"302",2.165297994
"303",2.35055019
"304",2.392121148
"305",2.146086533
"306",2.380377904
"307",1.70993777
"308",0.837720234
"309",0.820930427
"310",1.056567648
"311",0.759894455
"312",1.147338776
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",NA
"322",NA
"323",NA
"324",NA
"325",NA
"326",NA
"327",NA
"328",NA
"329",NA
"330",0.873462535
"331",0.742592579
"332",0.892272766
"333",0.420444207
"334",1.547613479
"335",0.95927873
"336",1.062874272
"337",1.270894345
"338",0.967375722
"339",0.504002592
"340",NA
"341",0.453823804
"342",0.772841677
"343",1.356043312
"344",0.505122847
"345",0.481502161
"346",0.47032077
"347",0.692649171
"348",0.858295045
"349",1.107667913
"350",2.855973168
"351",3.695687084
"352",1.974291748
"353",1.989584069
"354",1.822233044
"355",0.794651778
"356",0.737913683
"357",0.818737452
"358",0.78512903
"359",1.178015067
"360",0.866416899
"361",1.061418728
"362",1.082110984
"363",0.343130002
"364",0.510750728
"365",0.7008514
"366",NA
"367",NA
"368",0.365125678
"369",0.535181311
"370",0.843274741
"371",1.361871606
"372",1.642678646
"373",1.95566411
"374",2.011354534
"375",1.951383967
